date,country,election,status
"April 21, 2013",Republic of Paraguay,Election for President,Held
"April 21, 2013",Republic of Paraguay,Election for Camara de Diputados (Paraguayan Chamber of Deputies),Held
"April 21, 2013",Overseas Lands of French Polynesia,Election for Assemblée de la Polynésie Française (Assembly of French Polynesia),Held
"April 20, 2013",Italian Republic,Election for President,Held
"April 14, 2013",Bolivarian Republic of Venezuela,Election for President,Snap
"April 14, 2013",Republic of Cameroon,Election for Sénat (Cameroonian Senate),Held
"April 7, 2013",Montenegro,Election for President,Held
"March 16, 2013",Republic of Zimbabwe,Referendum,Held
"March 12, 2013",Greenland,Election for Kalaallit Nunaanni Inatsisartut (Greenland Diet),Held
"March 10, 2013",Falkland Islands (Malvinas),Referendum,Held
"March 9, 2013",Republic of Malta,Election for Il-Kamra Tad-Deputati (Maltese House of Representatives),Held
"March 5, 2013",Federated States Of Micronesia,Election for Congress of the Federated States of Micronesia,Held
"March 4, 2013",Republic of Kenya,Election for Kenyan National Assembly,Held
"March 4, 2013",Republic of Kenya,Election for President,Held
"March 4, 2013",Republic of Kenya,Election for Kenyan Senate,Held
"March 3, 2013",Swiss Confederation,Referendum,Held
"Feb. 24, 2013",Italian Republic,Election for Camera dei Deputati (Italian Chamber of Deputies),Held
"Feb. 24, 2013",Italian Republic,Election for Senato della Repubblica (Itialian Senate),Held
"Feb. 24, 2013",Republic of Cyprus,Election for President,Held
"Feb. 22, 2013",Republic of Djibouti,Election for Assemblée nationale (Djiboutian National Assembly),Held
"Feb. 21, 2013",Barbados,Election for Barbadian House of Assembly,Held
"Feb. 19, 2013",Grenada,Election for Grenadian House of Representatives,Held
"Feb. 18, 2013",Republic of Armenia,Election for President,Held
"Feb. 17, 2013",Republic of Ecuador,Election for President,Held
"Feb. 17, 2013",Republic of Ecuador,Election for Congreso Nacional (Ecuadorian National Congress),Held
"Feb. 17, 2013",Republic of Cyprus,Election for President,Held
"Feb. 15, 2013",Republic of Trinidad and Tobago,Election for President,Held
"Feb. 10, 2013",Principality of Monaco,Election for Conseil National (Monacan National Council),Held
"Feb. 3, 2013",Principality of Liechtenstein,Election for Landtag (Liechtenstein Parliament),Held
"Feb. 3, 2013",Republic of Cuba,Election for Asemblea Nacional del Poder Popular (Cuban National Assembly of People's Power),Held
"Jan. 27, 2013",Republic of Bulgaria,Referendum,Held
"Jan. 25, 2013",Czech Republic,Election for President,Held
"Jan. 23, 2013",Hashemite Kingdom of Jordan,Election for Majlis al-Nuwaab (Jordanian House of Deputies),Held
"Jan. 22, 2013",State of Israel,Election for Knesset (Israeli Knesset),Snap
"Jan. 20, 2013",Republic of Austria,Referendum,Held
"Jan. 11, 2013",Czech Republic,Election for President,Held
"Dec. 19, 2012",Republic of Korea,Election for President,Held
"Dec. 17, 2012",Bermuda,Election for Bermudian House of Assembly,Held
"Dec. 16, 2012",Japan,Election for Shugiin (Japanese House of Representatives),Snap
"Dec. 15, 2012",Arab Republic of Egypt,Referendum,Held
"Dec. 9, 2012",Romania,Election for Senat (Romanian Senate),Held
"Dec. 9, 2012",Romania,Election for Camera Deputaţilor (Romanian Chamber of Deputies),Held
"Dec. 7, 2012",Republic of Ghana,Election for President,Held
"Dec. 7, 2012",Republic of Ghana,Election for Ghanaian Parliament,Held
"Dec. 2, 2012",Republic of Slovenia,Election for President,Held
"Dec. 2, 2012",Burkina Faso,Election for Assemblée Nationale (Burkinabe National Assembly),Held
"Dec. 1, 2012",State of Kuwait,Election for Majlis al-Umma (Kuwaiti National Assembly),Held
"Nov. 25, 2012",Catalunya (Comunitat autònoma d'Espanya),Election for Parlament de Catalunya (Catalan Parliament),Held
"Nov. 17, 2012",Republic of Sierra Leone,Election for Sierra Leonean Parliament,Held
"Nov. 17, 2012",Republic of Sierra Leone,Election for President,Held
"Nov. 11, 2012",Republic of San Marino,Election for Consiglio Grande e Generale (Sammarinese Grand and General Council),Held
"Nov. 11, 2012",Republic of Slovenia,Election for President,Held
"Nov. 10, 2012",Ireland,Referendum,Held
"Nov. 9, 2012",Turks and Caicos Islands,Election for Turks and Caicos House of Assembly,Held
"Nov. 6, 2012",United States of America,Election for US House of Representatives,Held
"Nov. 6, 2012",Republic of Palau,Election for Palauan House of Delegates,Held
"Nov. 6, 2012",Commonwealth of Puerto Rico,Referendum,Held
"Nov. 6, 2012",Republic of Palau,Election for Palauan Senate,Held
"Nov. 6, 2012",Commonwealth of Puerto Rico,Election for Cámara de Representantes (Puerto Rican House of Representatives),Held
"Nov. 6, 2012",Republic of Palau,Election for President,Held
"Nov. 6, 2012",United States of America,Election for President,Held
"Nov. 6, 2012",Commonwealth of Puerto Rico,Election for Senado (Puerto Rican Senate),Held
"Nov. 6, 2012",United States of America,Election for US Senate,Held
"Oct. 30, 2012",Republic of Vanuatu,Election for Ni-Vanuatu Parliament,Held
"Oct. 28, 2012",Ukraine,Election for Verkhovna Rada (Ukrainian Supreme Council),Held
"Oct. 21, 2012",Basque Country,Election for Eusko Legebiltzarra (Basque Parliament),Held
"Oct. 21, 2012",Autonomous Community of Galicia,Election for Parlamento de Galicia (Parliament of Galicia),Held
"Oct. 20, 2012",Republic of Iceland,Referendum,Held
"Oct. 19, 2012",Czech Republic,Election for Senát (Czech Senate),Held
"Oct. 14, 2012",Republic of Lithuania,Referendum,Held
"Oct. 14, 2012",Republic of Lithuania,Election for Seimas (Lithuanian Parliament),Held
"Oct. 14, 2012",Montenegro,Election for Skupstina (Montenegrin Assembly),Held
"Oct. 7, 2012",Bolivarian Republic of Venezuela,Election for President,Held
"Oct. 1, 2012",Georgia,Election for Sakartvelos Parlamenti (Georgian Parliament),Held
"Sept. 26, 2012",Republic of Palau,Election for President,Held
"Sept. 23, 2012",Swiss Confederation,Referendum,Held
"Sept. 23, 2012",Republic of Belarus,Election for Palata Predstaviteley (Belarusian Chamber of Representatives),Held
"Sept. 12, 2012",Kingdom of the Netherlands,Election for Tweede Kamer (Dutch Second Chamber),Held
"Sept. 9, 2012",Hong Kong Special Administrative Region,Election for Hong Kong Legislative Council,Held
"Aug. 31, 2012",Republic of Angola,Election for Assembleia Nacional (Angolan National Assembly),Held
"July 29, 2012",Romania,Referendum,Held
"July 29, 2012",Republic of the Congo,Election for Assemblée Nationale (Congolese National Assembly),Held
"July 15, 2012",Republic of the Congo,Election for Assemblée Nationale (Congolese National Assembly),Held
"July 7, 2012",Libya,Election for Majlis Al Nuwab (Libyan Council of Deputies ),Held
"July 7, 2012",Democratic Republic of Timor-Leste,Election for Timorese National Parliament,Held
"July 1, 2012",United Mexican States,Election for Camara de Diputados (Mexican Chamber of Deputies),Held
"July 1, 2012",United Mexican States,Election for President,Held
"July 1, 2012",Principality of Liechtenstein,Referendum,Held
"July 1, 2012",United Mexican States,Election for Camara de Senadores (Mexican Senate),Held
"June 30, 2012",Republic of Iceland,Election for President,Held
"June 28, 2012",Mongolia,Election for Ulsyn Ikh Khural (Mongolian State Great Hural),Held
"June 23, 2012",Independent State of Papua New Guinea,Election for National Parliament of Papua New Guinea,Held
"June 17, 2012",Hellenic Republic,Election for Vouli ton Ellinon (Greek Parliament),Snap
"June 17, 2012",French Republic,Election for Assemblée Nationale (National Assembly of France),Held
"June 16, 2012",Arab Republic of Egypt,Election for President,Held
"June 10, 2012",French Republic,Election for Assemblée Nationale (National Assembly of France),Held
"May 31, 2012",Ireland,Referendum,Held
"May 26, 2012",Kingdom of Lesotho,Election for Lesotho National Assembly,Held
"May 20, 2012",Dominican Republic,Election for President,Held
"May 20, 2012",Republic of Serbia,Election for President,Held
"May 10, 2012",People's Democratic Republic of Algeria,Election for Al-Majlis Ech-Chaabi Al-Watani (Algerian National People's Assembly),Held
"May 7, 2012",Syrian Arab Republic,Election for Majlis al-Shaab (Syrian People's Council),Held
"May 7, 2012",Commonwealth of the Bahamas,Election for Bahaman House of Assembly,Held
"May 6, 2012",Republic of Serbia,Election for President,Held
"May 6, 2012",French Republic,Election for President (President of France),Held
"May 6, 2012",Republic of Armenia,Election for Azgayin Zhoghov (Armenian National Assembly),Held
"May 6, 2012",Republic of Serbia,Election for Narodna skupština (Serbian National Assembly),Held
"May 6, 2012",Hellenic Republic,Election for Vouli ton Ellinon (Greek Parliament),Held
"May 2, 2012",Hungary,Election for President,Held
"April 29, 2012",Republic of Guinea-Bissau,Election for President,Cancelled
"April 22, 2012",French Republic,Election for President (President of France),Held
"April 16, 2012",Democratic Republic of Timor-Leste,Election for President,Held
"April 11, 2012",Republic of Korea,Election for Kukhoe (South Korean National Assembly),Held
"April 1, 2012",Union of Myanmar,Election for Amyotha Hluttaw (Myanmarese House of Nationalities),Held
"April 1, 2012",Union of Myanmar,Election for Pyithu Hluttaw (Myanmarese House of Representatives),Held
"March 29, 2012",Republic of The Gambia,Election for Gambian National Assembly,Held
"March 25, 2012",Autonomous Community of Andalusia,Election for Parlamento de Andalucia (Andalusian Parliament),Held
"March 25, 2012",Republic of Senegal,Election for President,Held
"March 25, 2012",Republic of Slovenia,Referendum,Held
"March 18, 2012",Federal Republic of Germany,Election for Federal President (Federal President),Held
"March 18, 2012",Republic of Guinea-Bissau,Election for President,Moved Up/ Snap
"March 17, 2012",Democratic Republic of Timor-Leste,Election for President,Held
"March 11, 2012",Swiss Confederation,Referendum,Held
"March 11, 2012",Republic of El Salvador,Election for Asamblea Legislativa (Salvadorian Legislative Assembly),Held
"March 10, 2012",Slovak Republic,Election for Národná rada (Slovak National Council),Held
"March 7, 2012",Belize,Election for Belizean House of Representatives,Held
"March 4, 2012",Russian Federation,Election for President,Held
"March 2, 2012",Islamic Republic of Iran,Election for Majles-e-Shura-ye-Eslami (Iranian Islamic Consultative Assembly),Held
"Feb. 26, 2012",Republic of Senegal,Election for President,Held
"Feb. 26, 2012",Syrian Arab Republic,Referendum,Held
"Feb. 21, 2012",Republic of Yemen,Election for President,Held
"Feb. 18, 2012",Republic of Latvia,Referendum,Held
"Feb. 14, 2012",Arab Republic of Egypt,Election for Majilis Al-Shura (Egyptian Advisory Council),Held
"Feb. 12, 2012",Turkmenistan,Election for President,Held
"Feb. 5, 2012",Republic of Finland,Election for President,Held
"Feb. 2, 2012",State of Kuwait,Election for Majlis al-Umma (Kuwaiti National Assembly),Held
"Jan. 29, 2012",Arab Republic of Egypt,Election for Majilis Al-Shura (Egyptian Advisory Council),Held
"Jan. 22, 2012",Republic of Croatia,Referendum,Held
"Jan. 22, 2012",Republic of Finland,Election for President,Held
"Jan. 15, 2012",Republic of Kazakhstan,Election for Mazhilis (Kazakh House of Representatives),Held
"Jan. 14, 2012",Republic of China,Election for Taiwanese Legislative Yuan,Held
"Jan. 14, 2012",Republic of China,Election for President,Held
"Jan. 13, 2012",Republic of Kiribati,Election for President,Held
"Dec. 29, 2011",Jamaica,Election for Jamaican House of Representatives,Held
"Dec. 17, 2011",Gabonese Republic,Election for Assemblée Nationale (Gabonese National Assembly),Held
"Dec. 14, 2011",Arab Republic of Egypt,Election for Majlis Al-Sha'b (Egyptian People's Assembly),Held
"Dec. 12, 2011","Pitcairn, Henderson, Ducie, and Oeno Islands",Election for Pitcairn Islands Island Council,Held
"Dec. 11, 2011",Republic of Côte d'Ivoire,Election for Assemblee Nationale (Ivoirian National Assembly),Held
"Dec. 8, 2011",Gibraltar,Election for Gibraltarian Parliament,Held
"Dec. 4, 2011",Russian Federation,Election for Gosudarstvennaya Duma (Russian Federal Duma),Held
"Dec. 4, 2011",Republic of Croatia,Election for Hrvatski Sabor (Croatian Assembly),Held
"Dec. 4, 2011",Republic of Slovenia,Election for Državni Zbor (Slovenian National Assembly),Snap
"Nov. 28, 2011",Democratic Republic of the Congo,Election for Assemblée Nationale (Congolese National Assembly),Held
"Nov. 28, 2011",Democratic Republic of the Congo,Election for President,Held
"Nov. 28, 2011",Cooperative Republic of Guyana,Election for Guyanese National Assembly,Held
"Nov. 28, 2011",Arab Republic of Egypt,Election for Majlis Al-Sha'b (Egyptian People's Assembly),Held
"Nov. 28, 2011",Saint Lucia,Election for Saint Lucian House of Representatives,Held
"Nov. 26, 2011",New Zealand,Election for New Zealand House of Representatives,Held
"Nov. 26, 2011",New Zealand,Referendum,Held
"Nov. 25, 2011",Kingdom of Morocco,Election for Majlis al-Nuwab (Moroccan Chamber of Representatives),Held
"Nov. 24, 2011",Republic of The Gambia,Election for President,Held
"Nov. 21, 2011",Republic of the Marshall Islands,Election for Nitijela (Marshallese Parliament),Held
"Nov. 20, 2011",Kingdom of Spain,Election for Senado (Spanish Senate),Held
"Nov. 20, 2011",Kingdom of Spain,Election for Congreso de los Diputados (Spanish Congress of Deputies),Held
"Nov. 8, 2011",Republic of Liberia,Election for President,Held
"Nov. 7, 2011",British Virgin Islands,Election for British Virgin Islands House of Assembly,Held
"Nov. 6, 2011",Republic of Nicaragua,Election for Asamblea Nacional (Nicaraguan National Assembly),Held
"Nov. 6, 2011",Republic of Nicaragua,Election for President,Held
"Nov. 6, 2011",Republic of Guatemala,Election for President,Held
"Oct. 30, 2011",Republic of Bulgaria,Election for President,Held
"Oct. 30, 2011",Kyrgyz Republic,Election for President,Held
"Oct. 29, 2011",Faroe Islands,Election for Løgting (Faroese Parliament),Moved Up/ Snap
"Oct. 28, 2011",Republic of Kiribati,Election for Maneaba ni Maungatabu (Kiribati House of Assembly),Held
"Oct. 27, 2011",Ireland,Referendum,Held
"Oct. 27, 2011",Ireland,Election for President,Held
"Oct. 23, 2011",Argentine Republic,Election for Cámara de Diputados (Argentinian Chamber of Deputies),Held
"Oct. 23, 2011",Swiss Confederation,Election for Standerat/Conseil des Etats/ Consiglio degli Stati (Swiss Council of States),Confirmed
"Oct. 23, 2011",Swiss Confederation,Election for Nationalrat/Conseil National/Consiglio Nazionale (Swiss National Council),Held
"Oct. 23, 2011",Argentine Republic,Election for Senado (Argentinian Senate),Held
"Oct. 23, 2011",Tunisian Republic,Election for al-Majlis al-Waṭanī at-Ta’sīsī (Tunisian Constituent Assembly),Held
"Oct. 23, 2011",Argentine Republic,Election for President,Held
